Nome_Do_Carro,ValorEuros,Marca,TipoCombustivel,Quilometragem,Cilindrada,PotenciaMotor,TipoCarro,CaixaDeVelocidades,Ano
mercedesbenz c 200,18,mercedes-benz,diesel,230389,2143,136,combi,automatic,2015
mercedesbenz g 300 gd,41750,mercedes-benz,diesel,286379,2996,113,suv,manual,1994
fiat 500,18900,fiat,gaz,49,999,70,compact,manual,2020
fiat 500c 1 2 lounge,10900,fiat,gaz,51725,1242,69,cabrio,manual,2014
opel adam 1 2 glam,11900,opel,gaz,60986,1229,70,mini,manual,2016
citron c4,3900,citroen,diesel,318895,1560,110,compact,manual,2007
mini clubman,13490,mini,diesel,147000,1598,116,combi,manual,2013
hummer h2 6 0 sc luxury,49500,hummer,gpl,94000,5967,325,suv,automatic,2005
renault clio 1 5 blue dci intens,20250,renault,diesel,13500,1461,85,compact,manual,2021
bmw x1 18 d sdrive,18490,bmw,diesel,59900,1995,143,suv,manual,2012
mercedesbenz e 220 d avantgarde,58990,mercedes-benz,diesel,13930,1950,194,combi,automatic,2021
peugeot 308 sw 1 6 ehdi allure,12500,peugeot,diesel,299000,1560,115,combi,manual,2014
audi a3 limousine 1 6 tdi s tronic,21900,audi,diesel,108873,1598,116,sedan,automatic,2018
seat ibiza st 1 4 tdi reference,9990,seat,diesel,172359,1422,90,compact,manual,2016
porsche macan s,54900,porsche,diesel,136528,2967,258,suv,automatic,2016
peugeot 2008 1 2 puretech gt line,26500,peugeot,gaz,9963,1199,130,suv,manual,2020
land rover range rover evoque 2 0 d150 awd rdynamic auto,32990,land-rover,diesel,114665,1999,150,suv,automatic,2017
bmw 320 d touring auto,25750,bmw,diesel,133000,1995,190,combi,automatic,2017
audi q7 3 0 tdi etron quattro tiptronic,57000,audi,hibride-diesel,225000,2967,374,suv,automatic,2016
mercedesbenz c 43 amg 4matic,68500,mercedes-benz,gaz,69000,2996,390,cabrio,automatic,2019
toyota avensis s d 2 0 d4d executive,4400,toyota,diesel,280000,1995,110,sedan,manual,2002
peugeot 308 sw 1 6 bluehdi active,18950,peugeot,diesel,57000,1560,100,combi,manual,2018
land rover range rover evoque 2 0 d180 awd rdynamic s auto,51900,land-rover,diesel,58296,1999,180,suv,automatic,2019
nissan navara,27700,nissan,diesel,35321,2300,163,suv,manual,2017
hyundai scoupe 1 5,2000,hyundai,gaz,204000,1468,84,coupe,manual,1993
seat ibiza 1 0 style,13450,seat,gaz,81000,999,80,city-car,manual,2018
citron c4 1 6 hdi 110 sx,4700,citroen,diesel,428881,1560,110,compact,manual,2009
opel astra sports tourer,14490,opel,diesel,153000,1600,110,combi,manual,2017
skoda octavia break 1 6 tdi style,12390,skoda,diesel,212034,1598,115,combi,manual,2017
smart fortwo electric drive passion,14900,smart,electric,16810,400,82,city-car,automatic,2018
ford focus sw 1 5 tdci trend,12490,ford,diesel,205479,1499,120,combi,manual,2017
mercedesbenz c 200 cdi elegance blueefficiency,11480,mercedes-benz,diesel,243000,2143,136,combi,manual,2010
peugeot 308 1 5 bluehdi active,17999,peugeot,diesel,82000,1499,130,city-car,manual,2018
mercedesbenz e 220 d avantgarde,58990,mercedes-benz,diesel,20643,1950,194,combi,automatic,2021
renault captur 1 0 tce exclusive,20900,renault,gaz,19750,999,91,compact,manual,2021
bmw x3 20 d xdrive advantage auto,44500,bmw,diesel,70650,1995,190,suv,automatic,2018
